,start station id,start station name,start station latitude,start station longitude,Coordinates
573415,3138,E 77 St & Park Ave,40.774405455003,-73.96175265312193,"(40.774405455002999, -73.961752653121934)"
1021088,3139,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,"(40.771182875406581, -73.964094221591949)"
341,3140,1 Ave & E 78 St,40.77140426,-73.9535166,"(40.771404259999997, -73.9535166)"
33,3141,1 Ave & E 68 St,40.76500525,-73.95818491,"(40.765005250000002, -73.95818491)"
233,3142,1 Ave & E 62 St,40.761227399999996,-73.96094022,"(40.761227399999996, -73.960940219999998)"
205,3143,5 Ave & E 78 St,40.77682863439968,-73.96388769149779,"(40.776828634399678, -73.963887691497789)"
838,3144,E 81 St & Park Ave,40.77677702,-73.95900970000001,"(40.776777019999997, -73.95900970000001)"
29,3145,E 84 St & Park Ave,40.77862688,-73.95772073,"(40.778626879999997, -73.957720730000005)"
528,3146,E 81 St & 3 Ave,40.77573034,-73.9567526,"(40.775730340000003, -73.956752600000002)"
736,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,"(40.778012029999999, -73.954071490000004)"
66,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,"(40.775655409999999, -73.950686149999996)"
304,3150,E 85 St & York Ave,40.77536905,-73.94803392,"(40.775369050000002, -73.94803392)"
768,3151,E 81 St & York Ave,40.7728384,-73.94989233,"(40.772838399999998, -73.949892329999997)"
4984,3152,3 Ave & E 71 St,40.76873687,-73.96119945,"(40.768736869999998, -73.961199449999995)"
3675,3153,E 71 St & 2 Ave,40.76817546742245,-73.95910263061523,"(40.768175467422452, -73.959102630615234)"
2194,3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,"(40.76440023, -73.966489769999995)"
1073,3156,E 72 St & York Ave,40.76663814,-73.95348296,"(40.766638139999998, -73.953482960000002)"
883,3157,East End Ave & E 86 St,40.77518615,-73.94446054,"(40.775186150000003, -73.944460539999994)"
1853,3158,W 63 St & Broadway,40.77163851,-73.98261428,"(40.771638510000002, -73.982614280000007)"
1417,3159,W 67 St & Broadway,40.77492513,-73.98266566,"(40.77492513, -73.982665659999995)"
1492,3160,Central Park West & W 76 St,40.77896784,-73.97374737,"(40.77896784, -73.973747369999998)"
276,3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,"(40.780183972423899, -73.977285325527191)"
996,3162,W 78 St & Broadway,40.78339981,-73.98093133,"(40.783399809999999, -73.980931330000004)"
2101,3163,Central Park West & W 68 St,40.7734066,-73.97782542,"(40.773406600000001, -73.977825420000002)"
155,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,"(40.777057499999998, -73.978984749999995)"
472,3165,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,"(40.775793766836657, -73.976205736398711)"
622,3166,Riverside Dr & W 72 St,40.780577990103346,-73.98562431335448,"(40.780577990103346, -73.985624313354478)"
862,3167,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,"(40.779668090073116, -73.980930447578416)"
492,3168,Central Park West & W 85 St,40.78472675,-73.96961715,"(40.784726749999997, -73.969617150000005)"
809,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,"(40.78720869, -73.981281269999997)"
521,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,"(40.784999790000001, -73.972834059999997)"
289,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,"(40.785246720000004, -73.976673210000001)"
118,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,"(40.778566900000001, -73.977549609999997)"
1009,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,"(40.777507027547976, -73.988885879516587)"
500,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,"(40.77748046, -73.982885940000003)"
245,3176,W 64 St & West End Ave,40.77452835,-73.98753759,"(40.774528349999997, -73.987537590000002)"
188,3177,W 84 St & Broadway,40.7867947,-73.977112,"(40.786794700000002, -73.977112000000005)"
2129,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,"(40.78414472, -73.983624919999997)"
6980,3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,"(40.698616999999999, -73.941342000000006)"
11026,3180,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,"(40.698779999999999, -73.997119999999995)"
11899,3182,Yankee Ferry Terminal,40.686931,-74.016966,"(40.686931000000001, -74.016965999999996)"
